object,scope,rls_enabled,force_rls,policy_count,audit_trigger,status,defects
_arctos_migrations,INFRA,false,false,0,false,PLATFORM_EXEMPT,""
abac_access_log,TENANT,true,true,5,true,OK,""
abac_policy,TENANT,true,true,5,true,OK,""
academy_certificate,TENANT,true,true,5,true,OK,""
academy_course,TENANT,true,true,5,true,OK,""
academy_enrollment,TENANT,true,true,5,true,OK,""
academy_lesson,TENANT,true,true,5,true,OK,""
academy_quiz_attempt,TENANT,true,true,5,true,OK,""
access_log,TENANT,true,true,4,false,OK,""
account,AUTH,true,true,0,true,OK,""
acknowledgment,TENANT,true,true,5,true,OK,""
agent_execution_log,TENANT,true,true,5,true,OK,""
agent_recommendation,TENANT,true,true,5,true,OK,""
agent_registration,TENANT,true,true,5,true,OK,""
ai_authority_communication,TENANT,true,true,6,true,OK,""
ai_conformity_assessment,TENANT,true,true,5,true,OK,""
ai_corrective_action,TENANT,true,true,6,true,OK,""
ai_egress_log,TENANT,true,true,5,false,OK,""
ai_feature_registry,PLATFORM,false,false,0,false,PLATFORM_EXEMPT,""
ai_framework_mapping,TENANT,true,true,5,true,OK,""
ai_fria,TENANT,true,true,5,true,OK,""
ai_gpai_model,TENANT,true,true,5,true,OK,""
ai_human_oversight_log,TENANT,true,true,5,true,OK,""
ai_incident,TENANT,true,true,5,true,OK,""
ai_org_policy,TENANT,true,true,5,true,OK,""
ai_penalty,TENANT,true,true,5,true,OK,""
ai_prohibited_screening,TENANT,true,true,6,true,OK,""
ai_prompt_log,TENANT,true,true,5,true,OK,""
ai_provider_qms,TENANT,true,true,6,true,OK,""
ai_system,TENANT,true,true,5,true,OK,""
ai_transparency_entry,TENANT,true,true,5,true,OK,""
api_key,TENANT,true,true,5,true,OK,""
api_key_scope,TENANT_CHILD,true,true,1,true,OK,""
api_playground_snippet,TENANT,true,true,5,true,OK,""
api_scope,PLATFORM,false,false,0,true,PLATFORM_EXEMPT,""
api_usage_log,TENANT,true,true,5,true,OK,""
application_assessment_history,TENANT,true,true,5,true,OK,""
application_interface,TENANT,true,true,5,true,OK,""
application_portfolio,TENANT,true,true,5,true,OK,""
approval_decision,TENANT_CHILD,true,true,1,true,OK,""
approval_request,TENANT,true,true,5,true,OK,""
approval_workflow,TENANT,true,true,5,true,OK,""
architecture_change_request,TENANT,true,true,5,true,OK,""
architecture_change_vote,TENANT_CHILD,true,true,1,true,OK,""
architecture_element,TENANT,true,true,5,true,OK,""
architecture_health_snapshot,TENANT,true,true,5,true,OK,""
architecture_relationship,TENANT,true,true,5,true,OK,""
architecture_rule,TENANT,true,true,5,true,OK,""
architecture_rule_violation,TENANT,true,true,5,true,OK,""
arctos_rls_guard_event,PLATFORM,true,false,1,false,PLATFORM_EXEMPT,""
assessment_control_eval,TENANT,true,true,5,true,OK,""
assessment_risk_eval,TENANT,true,true,5,true,OK,""
assessment_run,TENANT,true,true,5,true,OK,""
asset,TENANT,true,true,5,true,OK,""
asset_cia_profile,TENANT,true,true,5,true,OK,""
asset_classification,TENANT,true,true,5,true,OK,""
asset_classification_override,TENANT,true,true,8,true,OK,""
asset_cpe,TENANT,true,true,6,true,OK,""
asset_type_risk_recommendation,PLATFORM,false,false,0,true,PLATFORM_EXEMPT,""
assurance_score_snapshot,TENANT,true,true,5,true,OK,""
attack_path_result,TENANT,true,true,5,true,OK,""
